year,observed,predicted,lower_95,upper_95,covered,successful_resamples
2013,2327.03,2442.8247605440633,2213.3464460424157,2784.860544779828,1,250
2014,2375.19,2412.247779781135,2290.130874952289,2632.553807251063,1,250
2015,2382.4,2333.2315271209213,2296.077774387869,2566.6326632264186,1,250
2016,2418.56,2561.1828774808437,2381.21471312205,2786.427147762819,1,250
2017,2507.71,2582.524174204617,2470.688308942203,2685.6534802908254,1,250
2018,2558.86,2616.666143489652,2513.747985919764,2742.867112011237,1,250
2019,2619.56,2753.231385027081,2542.166910355325,2909.815045760526,1,250
2020,2573.16,2613.831385061219,2459.486174001668,2804.560032565867,1,250
2021,2614.16,2704.028738231276,2622.539702296899,2855.7605109246606,0,250
2022,2537.95,2893.845910230567,2668.992424734121,3041.593993763152,0,250
2023,2564.15,2579.4963574024637,2479.666583591398,2798.7010070673323,1,250
2024,2404.71,2617.1146089637828,2391.218698466123,2898.608011369185,1,250
